Frequency (Hz)	Amplitude	Phase	Frequency (Hz)	aveAmplitude	avePhase
2.800000E+3	2.895750E+0	0.000000E+0	2.840000E+3	1.737690E+0	0.000000E+0
2.802000E+3	2.931780E+0	0.000000E+0	2.842000E+3	1.832600E+0	0.000000E+0
2.804000E+3	2.835110E+0	0.000000E+0	2.844000E+3	1.813830E+0	0.000000E+0
2.806000E+3	3.131670E+0	0.000000E+0	2.846000E+3	1.939060E+0	0.000000E+0
2.808000E+3	2.856340E+0	0.000000E+0	2.848000E+3	2.118700E+0	0.000000E+0
2.810000E+3	3.038530E+0	0.000000E+0	2.850000E+3	2.083960E+0	0.000000E+0
2.812000E+3	2.825600E+0	0.000000E+0	2.852000E+3	2.025880E+0	0.000000E+0
2.814000E+3	2.888610E+0	0.000000E+0	2.854000E+3	1.748290E+0	0.000000E+0
2.816000E+3	2.962220E+0	0.000000E+0	2.856000E+3	1.807310E+0	0.000000E+0
2.818000E+3	3.009710E+0	0.000000E+0	2.858000E+3	1.650140E+0	0.000000E+0
2.820000E+3	2.907140E+0	0.000000E+0	2.860000E+3	1.422060E+0	0.000000E+0
2.822000E+3	2.906950E+0	0.000000E+0	2.862000E+3	9.332300E-1	0.000000E+0
2.824000E+3	2.873750E+0	0.000000E+0	2.864000E+3	4.814400E-1	0.000000E+0
2.826000E+3	3.048720E+0	0.000000E+0	2.866000E+3	5.226000E-2	0.000000E+0
2.828000E+3	2.992480E+0	0.000000E+0	2.868000E+3	5.127900E-1	0.000000E+0
2.830000E+3	3.123210E+0	0.000000E+0	2.870000E+3	1.389080E+0	0.000000E+0
2.832000E+3	3.088840E+0	0.000000E+0	2.872000E+3	1.088710E+0	0.000000E+0
2.834000E+3	3.070520E+0	0.000000E+0	2.874000E+3	6.984200E-1	0.000000E+0
2.836000E+3	3.109690E+0	0.000000E+0	2.876000E+3	8.506800E-1	0.000000E+0
2.838000E+3	3.019560E+0	0.000000E+0	2.878000E+3	1.110660E+0	0.000000E+0
2.840000E+3	3.066370E+0	0.000000E+0	2.880000E+3	1.710890E+0	0.000000E+0
2.842000E+3	3.031340E+0	0.000000E+0	2.882000E+3	2.219940E+0	0.000000E+0
2.844000E+3	3.029560E+0	0.000000E+0	2.884000E+3	2.243150E+0	0.000000E+0
2.846000E+3	3.135720E+0	0.000000E+0	2.886000E+3	2.416810E+0	0.000000E+0
2.848000E+3	2.945440E+0	0.000000E+0	2.888000E+3	2.491730E+0	0.000000E+0
2.850000E+3	3.006490E+0	0.000000E+0	2.890000E+3	2.335160E+0	0.000000E+0
2.852000E+3	3.059760E+0	0.000000E+0	2.892000E+3	2.481050E+0	0.000000E+0
2.854000E+3	3.137610E+0	0.000000E+0	2.894000E+3	2.559750E+0	0.000000E+0
2.856000E+3	3.022410E+0	0.000000E+0	2.896000E+3	2.572210E+0	0.000000E+0
2.858000E+3	3.024300E+0	0.000000E+0	2.898000E+3	2.790020E+0	0.000000E+0
2.860000E+3	2.761210E+0	0.000000E+0	2.900000E+3	2.798980E+0	0.000000E+0
2.862000E+3	2.225140E+0	0.000000E+0	2.902000E+3	2.717850E+0	0.000000E+0
2.864000E+3	1.756680E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.866000E+3	1.423840E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.868000E+3	1.924390E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.870000E+3	2.359420E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.872000E+3	1.917890E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.874000E+3	1.579110E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.876000E+3	1.713270E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.878000E+3	2.090080E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.880000E+3	2.535530E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.882000E+3	2.867660E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.884000E+3	2.895770E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.886000E+3	3.040980E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.888000E+3	3.352080E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.890000E+3	3.147760E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.892000E+3	3.477860E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.894000E+3	3.240000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.896000E+3	3.241950E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.898000E+3	3.282140E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.900000E+3	3.216030E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.902000E+3	3.298470E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.904000E+3	3.362870E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.906000E+3	3.417740E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.908000E+3	3.270440E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.910000E+3	3.290450E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.912000E+3	3.376900E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.914000E+3	3.349660E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.916000E+3	3.281660E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.918000E+3	3.294430E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.920000E+3	3.400620E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.922000E+3	3.289260E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.924000E+3	3.355010E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.926000E+3	3.199800E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.928000E+3	3.417200E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.930000E+3	3.253790E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.932000E+3	3.299990E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.934000E+3	3.462080E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.936000E+3	3.128260E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.938000E+3	3.430560E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.940000E+3	3.252260E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2.942000E+3	3.195340E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
